log_line,category
"2026-03-16T03:45:10.229Z ERROR [auth-service] DELETE /api/v1/users failed status=429 error=""Internal Server Error"" request_id=1ca6ad9b57a1",error_rate
2026-03-15T00:12:11.018Z ERROR [cdn-proxy] Circuit breaker OPEN for /api/v1/users failures=23/25 window=30s,error_rate
"2026-03-13T03:46:27.412Z ERROR [auth-service] gRPC connection to aws-sqs failed: code=UNAVAILABLE desc=""dns resolution failed for aws-sqs.svc.cluster.local""",dependency_failure
2026-03-16T22:08:15.100Z ERROR [search-service] Liveness probe failed: HTTP probe failed with statuscode 503 pod=api-gateway-7f8b6c-xk9mz consecutive_failures=3,deployment_issue
2026-03-17T02:44:51.062Z DEBUG [cdn-proxy] DNS resolution host=prod-node-02 resolved_in=5ms ttl=199s,normal
2026-03-12T19:33:07.955Z INFO  [worker-pool] PATCH /api/v1/orders completed status=304 latency=145ms request_id=60e43767ee5e,normal
2026-03-13T16:38:17.950Z FATAL [search-service] Panic recovered: runtime error: index out of range [5] with length 3 goroutine=486,error_rate
2026-03-15T16:08:44.153Z ERROR [analytics-service] ArgoCD sync failed: application analytics-service sync status=OutOfSync health=Degraded,deployment_issue
2026-03-13T01:00:24.109Z ERROR [cache-manager] Feature flag parsing error: invalid JSON in flag 'enable_new_checkout' value='tru' expected boolean,config_error
2026-03-17T02:23:48.359Z ERROR [api-gateway] OOMKilled container=api-gateway pod=api-gateway-7f8b6c-xk9mz namespace=default memory_limit=512Mi usage=511Mi,resource_exhaustion
"2026-03-11T05:08:15.241Z WARN  [user-service] Canary deployment user-service-canary error rate 12.5% exceeds threshold 5%, initiating rollback",deployment_issue
2026-03-17T07:01:22.987Z INFO  [analytics-service] Cache hit ratio=0.96 keys=4059 host=staging-node-01,normal
"2026-03-11T01:12:39.869Z FATAL [cdn-proxy] Environment variable DATABASE_URL is not set, cannot start service",config_error
2026-03-10T12:50:13.116Z WARN  [scheduler] Circuit breaker half-open for aws-s3 testing with 1 request after 30s cooldown,dependency_failure
2026-03-14T02:05:01.326Z ERROR [event-bus] java.lang.OutOfMemoryError: Java heap space at java.util.Arrays.copyOf(Arrays.java:3236),resource_exhaustion
2026-03-11T01:57:17.330Z WARN  [api-gateway] Circuit breaker half-open for cloudflare-dns testing with 1 request after 30s cooldown,dependency_failure
2026-03-11T14:27:45.654Z WARN  [order-service] Rollout stalled: deployment/order-service 2/5 replicas available deadline=600s namespace=monitoring,deployment_issue
2026-03-12T12:20:36.538Z INFO  [order-service] Metrics exported datapoints=263 target=prometheus,normal
2026-03-15T15:20:11.234Z WARN  [event-bus] CPU throttling detected: 71% throttled periods pod=worker-pool-6e5f4g-vw8xy cpu_limit=500m,resource_exhaustion
2026-03-17T09:47:05.531Z INFO  [event-bus] Scheduled job cron.cleanup completed in 274ms removed=23 records,normal
2026-03-09T21:28:36.226Z INFO  [event-bus] Rate limiter token_bucket refilled bucket=event-bus tokens=100 interval=60s,normal
"2026-03-15T12:35:18.137Z ERROR [auth-service] DELETE /api/v1/payments failed status=403 error=""Internal Server Error"" request_id=57f81c238a82",error_rate
2026-03-12T20:51:23.323Z INFO  [notification-service] Health check passed endpoint=/healthz status=ok uptime=34521s,normal
